index,y_true,predicted
196,0,0.088356465
197,1,0.1712037
198,0,0.49379945
199,1,0.14448565
200,0,3.6043675
201,1,0.105506584
202,0,3.5464358
203,1,0.12734134
204,0,0.59186095
205,1,0.23325534
206,0,0.4375932
207,1,0.12781174
208,0,0.57868046
209,1,0.3436002
210,0,0.24626487
211,1,0.16866416
212,0,0.11268842
213,1,0.43544355
214,0,0.30727187
215,1,0.47772703
216,0,0.20855382
217,1,0.19823849
218,0,0.19126205
219,1,0.023097737
220,0,0.2939147
221,1,0.05116358
222,0,0.30937552
223,1,0.42194858
224,0,0.6623487
225,1,0.66679996
226,0,0.76386935
227,1,0.075332865
228,0,0.18169737
229,1,0.14725243
230,0,1.1706833
231,1,0.17502148
232,0,1.0734788
233,1,0.1301358
234,0,0.51989985
235,1,0.12874657
236,0,0.5017335
237,1,0.19274676
238,0,0.52624065
239,1,0.5393938
240,0,0.46832412
241,1,0.34217355
242,0,0.30282226
243,1,0.08590728
244,0,0.19995975
245,1,0.4899048
246,0,0.62867373
247,1,0.6506747
248,0,0.5342328
249,1,0.07376028
250,0,0.2654573
251,1,0.16604069
252,0,0.13923204
253,1,0.21758896
254,0,0.20590729
255,1,0.1714521
256,0,0.17457971
257,1,0.4159943
258,0,0.1809825
259,1,0.4067247
260,0,1.2984102
261,1,0.17825073
262,0,0.39419368
263,1,0.2793083
264,0,0.42542493
265,1,0.241159
266,0,0.21028486
267,1,0.46183845
268,0,0.617366
269,1,0.1889225
270,0,0.29993716
271,1,0.48279178
272,0,0.6954202
273,1,0.08997854
274,0,5.560117
275,1,0.49642634
276,0,0.67258745
277,1,0.24489953
278,0,0.7807967
279,1,0.14552264
280,0,0.46753913
281,1,0.4889344
282,0,0.59271544
283,1,0.7093436
284,0,0.5994331
285,1,0.24426946
286,0,0.37812245
287,1,0.20958368
288,0,1.0814536
289,1,0.61240625
290,0,0.76960105
291,1,0.28033262
292,0,0.37009007
293,1,1.0058289
294,0,0.353155
295,1,0.3751395
296,0,0.7000331
297,1,0.11585142
298,0,0.107031405
299,1,0.19348767
300,0,0.42314833
301,1,0.6164006
302,0,0.090943135
303,1,0.09554901
304,0,0.3798926
305,1,0.43835822
306,0,0.4582687
307,1,0.42311427
